date|op|cash|fee
2017-08-11|buy option @ 57.24|-5,724.41|0.00
2017-08-11|hedge -5 @ 2725(4.5145)|136,250.00|-158.25
2017-08-31|hedge 1 @ 2697(-1.1088)|-26,970.00|-31.65
2017-09-22|hedge -2 @ 2790(2.0360)|55,800.00|-63.30
2017-09-29|hedge 1 @ 2729(-1.4019)|-27,290.00|-31.65
2017-10-13|hedge -2 @ 2855(2.9504)|57,100.00|-63.30
2017-10-20|hedge -1 @ 2852(1.0325)|28,520.00|-31.65
2017-10-27|hedge 1 @ 2797(-1.0714)|-27,970.00|-31.65
2017-11-13|hedge -1 @ 2834(1.3232)|28,340.00|-31.65
2017-11-16|hedge -1 @ 2861(1.1306)|28,610.00|-31.65
2017-11-27|hedge 9 @ 2893|-260,370.00|-284.85
2017-11-27|sell option @ 142.98|14,297.67|0.00
date|op|cash|fee
2017-08-14|buy option @ 60.55|-6,055.14|0.00
2017-08-14|hedge -5 @ 2734(4.7134)|136,700.00|-158.25
2017-08-31|hedge 1 @ 2697(-1.1088)|-26,970.00|-31.65
2017-09-22|hedge -2 @ 2790(2.0360)|55,800.00|-63.30
2017-09-29|hedge 1 @ 2729(-1.4019)|-27,290.00|-31.65
2017-10-13|hedge -2 @ 2855(2.9504)|57,100.00|-63.30
2017-10-20|hedge -1 @ 2852(1.0325)|28,520.00|-31.65
2017-10-27|hedge 1 @ 2797(-1.0714)|-27,970.00|-31.65
2017-11-13|hedge -1 @ 2834(1.3232)|28,340.00|-31.65
2017-11-16|hedge -1 @ 2861(1.1306)|28,610.00|-31.65
2017-11-27|hedge 9 @ 2893|-260,370.00|-284.85
2017-11-27|sell option @ 142.98|14,297.67|0.00
date|op|cash|fee
2017-08-15|buy option @ 57.48|-5,747.54|0.00
2017-08-15|hedge -5 @ 2728(4.5731)|136,400.00|-158.25
2017-08-31|hedge 1 @ 2697(-1.1088)|-26,970.00|-31.65
2017-09-22|hedge -2 @ 2790(2.0360)|55,800.00|-63.30
2017-09-29|hedge 1 @ 2729(-1.4019)|-27,290.00|-31.65
2017-10-13|hedge -2 @ 2855(2.9504)|57,100.00|-63.30
2017-10-20|hedge -1 @ 2852(1.0325)|28,520.00|-31.65
2017-10-27|hedge 1 @ 2797(-1.0714)|-27,970.00|-31.65
2017-11-13|hedge -1 @ 2834(1.3232)|28,340.00|-31.65
2017-11-16|hedge -1 @ 2861(1.1306)|28,610.00|-31.65
2017-11-27|hedge 9 @ 2893|-260,370.00|-284.85
2017-11-27|sell option @ 142.98|14,297.67|0.00
date|op|cash|fee
2017-08-16|buy option @ 74.99|-7,499.29|0.00
2017-08-16|hedge -5 @ 2716(5.4524)|135,800.00|-158.25
2017-08-28|hedge -1 @ 2746(1.0722)|27,460.00|-31.65
